EAN-Code;Pharmacode;Bezeichnung ;Galenische Form | PGR;KAT ;CSL-Code*;CSL 70.01.
7680687430012;1098334;Aconit comp. Schmerzöl;Öl zur Anwendung auf der Haut 50 ml;D;;
7640187361278;4228473;Aconitum comp.;Globuli velati 20 g;D;2070358;18.35
7640187360974;4227315;Aconitum comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187360011;4926556;Aconitum/Camphora comp.;Oleum 100 ml;D;2070513;24.8
7640187360028;4926579;Aconitum/Camphora comp.;Otoguttae 10 ml;D;2070536;10.4
7640187362428;6723604;Aconitum/China comp.;Suppositoria 10 x 1 g;D;2070559;23
7640187361315;4228705;Adonis comp.;Globuli velati 20 g;D;2070306;16.55
7640187361322;4926585;"Adonis/Scilla comp.
";Globuli velati 20 g;D;2070306;16.55
7640187362954;6621677;"Adonis/Scilla comp.
";Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187363807;1114141;Aesculus/Cera comp.;Creme/Crème 100 g;D;2070499;32.8
7640187363005;5999706;"Aesculus/Quercus comp.
";Suppositoria 10 x 2 g;D;2070559;23
7640187360769;4228846;Agropyron comp.;Globuli velati 20 g;D;2070306;16.55
7640187362435;4228823;Agropyron comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187360103;5614793;"Allium cepa/Mercurialis comp.
";Unguentum 30 g;D;2070482;20.25
7640187360714;4910785;Allium cepa/Tendo comp.;Globuli velati 20 g;D;2070358;18.35
7640187362701;5412049;Allium cepa/Tendo comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187362459;4228852;Ammi visnaga comp.;Suppositoria 10 x 2 g;B;2070559;23
7640187362961;4228875;Amnion Gl D30;Solutio ad inj. 10 x 1 ml;B;2070677;44.5
7640187360868;4228912;Anagallis comp.;Globuli velati 20 g;D;2070306;16.55
7640187362978;4228881;Anagallis comp.;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187360110;5659287;"Antimonit/Rosae aetheroleum comp.
";Gelatum 30 g;D;2070482;20.25
7640187360097;5659264;"Antimonit/Rosae aetheroleum comp.
";Solutio 50 ml;D;2070453;14.5
7640187361339;6013943;"Apis D3/Levisticum D2
";Globuli velati 20 g;D;2070306;16.55
7640187362985;5412055;Apis D4/Levisticum D3;Solutio ad inj. 10 x 1 ml;B;2070565;30.5
7640187361346;5570423;"Apis D4/Levisticum D3
";Globuli velati 20 g;D;2070306;16.55
7640187361254;4228958;Apis regina comp.;Globuli velati 20 g;B;2070358;18.35
7640187360998;4228941;Apis regina comp.;Solutio ad inj. 10 x 1 ml;B;2070588;39
7640187360547;4926591;Apis regina/Aurum comp.;Globuli velati 20 g;D;2070306;16.55
7640187362992;5548263;"Apis regina/Aurum comp.
";Solutio ad inj. 10 x 1 ml;B;2070565;30.5
