id,name,darreichung,status,verweis,artikelnummer,pharmacode,ean,abgabekategorie,zulassungsnummer,csl
1,"Absinthium, ethanol. Infusum D1",Tropfen zum Einnehmen 50 ml,Lieferbar,,124755,1019849,7611916162404,FM / SL,,2069591
2,Absinthium D1 / Resina Laricis D3 aa,Tropfen zum Einnehmen 50 ml,Lieferbar,,124401,5043474,7611916152665,B / SL,414906,2070275
3,Absinthium / Caryophylli comp.,Tropfen zum Einnehmen 50 ml,Lieferbar,,124171,1111076,7622916163728,B / SL,418447,2070275
4,Achillea comp.,Tropfen zum Einnehmen 50 ml,Lieferbar,,205972,7837815,7611916162060,FM / SL,,2070329
5,Acidum Formicae D6,Injektionslösung 8 Amp.,Lieferbar,,124277,4099219,7611916151071,B / SL,404634,8x2070631
6,Acidum Formicae D30,Injektionslösung 8 Amp.,Lieferbar,,124270,5313525,7611916151002,B / SL,404634,8x2070677
7,Aconitum napellus D4,Tropfen zum Einnehmen 50 ml,Gestrichen,,124643,7735658,7611916159268,D / SL,403990,2069674
8,Aconitum napellus D6,Globuli 4 g,Gestrichen,,100400,1606615,7611916104152,D,412043,2069645
9,Aconitum napellus Rh D6,Injektionslösung 8 Amp.,Gestrichen (Lieferbar: Rh D20 und Rh D30),,100012,4099337,7611916101120,B,405049,8x2070631
10,Aconitum napellus D6,Tropfen zum Einnehmen 50 ml,Gestrichen,,124555,7715469,7611916158223,D,403990,2069674
12,Aconitum napellus D20,Tropfen zum Einnehmen 50 ml,Gestrichen (Lieferbar: D20 Ampullen),,124556,7715475,7611916158230,D,403990,2069734
13,Aconitum napellus D30,Globuli 4 g,Gestrichen (Lieferbar: D30 Ampullen),,100405,1606621,7611916104176,D,412043,2069763
14,Aconitum napellus Rh D30,Injektionslösung 8 Amp.,Lieferbar,,100019,1158865,7611916159107,B / SL,418405,8x2070677
15,Aconitum napellus D30,Tropfen zum Einnehmen 50 ml,Gestrichen (Lieferbar: D30 Ampullen),,124557,7715481,7611916158247,D,403990,2069800
16,Aconitum / Arnica / Betula comp.,Tropfen zum Einnehmen 50 ml,Lieferbar,,124160,7794398,7611916357763,B / SL,59812,2070275
17,Aconitum / Bryonia,Tropfen zum Einnehmen 50 ml,Lieferbar,,124925,5043497,7611916153792,B / SL,415325,2070329
18,"Aconitum napellus D4 / Arnica, Planta tota D2 / Bryonia D3",Tropfen zum Einnehmen 50 ml,Lieferbar,,206010,7734490,7611916150630,FM / SL,,2070329
19,"Aesculus, Cortex, ethanol. Decoctum D1",Tropfen zum Einnehmen 50 ml,Lieferbar,,124849,5093555,7611916140747,FM / SL,,2069591
