1122465312ZYVOXID Filmtabl 600 mg 10 Stk                    096114108275100A080190076805555800542
1120020209ERYTRHOCIN I.V. Trockensub Fl 1g                  001518002010300B080160000000000000002
1120020244FERRO-GRADUMET Depottabl 30 Stk                   000895001090300C060710076803164401152
1130020646SELSUN Shampoo Susp 60 ml                         000911001650300D100400076801723304142
1120020652SELSUN Shampoo Susp 120 ml                        001576002520300D100400076801723306812
1130021806EAU PRECIEUSE D?pensier L?s 375 ml                001220001870300D100600000000000000002
1130021976DIOPARINE Gtt Opht 7500 E 5 ml                    0007380013400000000000000000000000002
1130023722LANSOYL Gel 225 g                                 000985001520200D040811076803247501902
1130027447ARTHROSENEX2519120 Salbe 100 g                    0012930024300000000000000000000000002
1130028470COMPLAMIN RETARD Tabl 500 mg 60 Stk               001817003110300C020430000000000000002
11353669641-DAY ACUVUE Moist Tag -2.00dpt BC 8.5 30 Stk     0021170037501000000000000000000000001
1122871437CANIPHEDRIN Tabl 20 mg ad us vet. 100 Stk         001266001550400C000000076804706601832
1122871443CANIPHEDRIN Tabl 20 mg ad us vet. 500 Stk         004872006910400C000000000000000000002
1122871466CANIPHEDRIN Tabl 50 mg ad us vet. 100 Stk         001424001750400C000000076804706604282
1122871472CANIPHEDRIN Tabl 50 mg ad us vet. 500 Stk         005443007580400C000000000000000000002
1132867163TOTALIN Plv ad us. vet. 5 kg                      000535000900400C000000000000000000002
1138110429Forthyron 400 mcg 50 Tabl (vet)                   0081120015800000000000000000000000002
1130598003SOFRADEX Gtt Auric 8 ml                           000718001545300B120130076803169501572
1125565072SEMPER Cookie-O’s glutenfrei 150 g                0004450007054000000000073101005542602
1126000923CER’8 after sting Roll-on 20 ml                   0005900008204000000000000000000000001
1128111222DermaSilk Set Body + Strumpfhöschen 24–36 Mon (98)0154250164800000000000000000000000002
1128111718Inkosport Activ Pro 80 Himbeer – Joghurt Ds 750g  0038970055000000000000000000000000002
1128807890Ethacridin lactat 1‰ 100ml                        0009290013701000000000000000000000002
